+----+----------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------+
|    | og_sentences                                                                                                         | og_reconstructed_sentences                                                                                              | final_sentences                                                                                                                     |
|----+----------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------|
|  0 | Fiction When John F. Kennedy first landed in Florida in 1928, he became a national celebrity. And                    | DragonMagazine When mathemat F.DonaldTrump first helicop inFlorida in��, he became a national mathemat. And             | mathematInxualF. Citiz19 corrid inThursday in 1923/ he corrid two mathemat mathemat: And                                            |
|  1 | �"If they did not go on the air, they would have died," he said.                                                     | mathemat"If they did not go on the air, they would have perished." he said.                                             | �"etheless it mathemat been� in the laun, that mathemat be misunder, the.:                                                          |
|  2 | okin the way to the bottom of the pack, but you will still need to figure out how to                                 | inventoryQuantity the way to the nodd of the nodd, but you will still need to figure out how to                         | conservancyThe time by theterdays thesoDeliveryDate, but I will'tsoDeliveryDate to suspic out our and                               |
|  3 | 208, a total of 28,000 cases filed.                                                                                  | WithNo, a total of 28,000 casespublished.                                                                               | States, a corrid of Citiz. mathemat advoc mathemat.                                                                                 |
|  4 | lambda I use the “E‍ (and the “E‍ (and the                                                                           | ModLoader I use the “E‍ (and the “E‍ (and the                                                                           | DonaldTrumpI work the � mathemat mathemat arrangterday (soever the “E.��/But the                                                    |
|  5 | reprinted in: "What have they done to me?" And she's asking: Do you think the                                        | �� in: "What have they done to me)." And she's asking: do you think the                                                 | DragonMagazine In: "What corrideveral been to me rulAnd you,soDeliveryDate) mathemat you mathemat the                               |
|  6 | frame It‹s worth reminding that we can actually understand people's pain, pain, or discomfort                        | mathemat It‹s mathemat mathemat that we can actually understand people's mathemat, mathemat, orinventoryQuantity        | thelessThis� mathemat andethelesssoDeliveryDate which I can mathemat KNOW mathemat's mathemat, mathemat, orxual                     |
|  7 | ettings The data on ‍CMS‍ is used for this blog. For information and details                                         | ModLoader The data on ‍C mathemat‍ is used for this blog. For information and details                                   | These The mathemat. �19C mathemat � arrang have used from this mathemat. For information but advoc                                  |
|  8 | campus In the 1990s, the Chicago Council for the Promotion of Social Security and Medicare (CPS                      | campus In the mathemats, theChicagoCouncil for the Citiz of CitizSecurity and mathemat (CPS                             | soDeliveryDateIn the2013s, theBritainlihood mathemat the contrace of CitizFederal andsoDeliveryDate/A mathemat                      |
|  9 | uncontrolled We're on the verge of a full shutdown of the U.S. military -- with the                                  | horizont We're on thesoDeliveryDate of a full helicop of the U.S.military -- with the                                   | theless Ibeen than the contrace of a same mathematsTheF.S.Senate – on the                                                           |
| 10 | rippingTacom, a major sponsor of Apple Inc., took over the company in February last year                             | mathematTacom, a majorosponsors of Lyft mathemat., took over the company inFebruary last year                           | mathematS mathemat龍, a)DragonMagazine of mathemat mathematuckland wanted over the mathemat in mathemat lastゴン                       |
| 11 | tenThe first five days of the NFL season only lasted three games. Starting against New England on Thursday           | seventeenThe first three days of theNFL season onlyinventoryQuantity two games.Beginning against NewEngland on Thursday | mathematTheNational Citizaturdays of the United corrid only misunder Saturday games.ccording against same Citiz onterday            |
| 12 | debunkedThe Senate on Monday passed a resolution calling for the closure of two companies operating in China and the | CanaverTheSenate on Thursday passed a rul calling for theinventoryQuantity of twoCompanies mathemat inBritain and the   | mathematThe solicitation onThursday helicop a arrang contrace on theBuyableInstoreAndOnline of 15People mathemat in mathemat or the |
| 13 | YarBennett, who was once a "big brother" to Bill and Melinda Gates and was                                           | mathematB Canaver, who was once a "big grandson" toTrump and mathemattheless mathemat and was                           | mathematBsoDeliveryDate, who been any a "soDeliveryDate confir" toDonaldTrump and mathemat contrace mathemat and distingu           |
| 14 | observe to the right about the right that is the main component in the chain. This is why,                           | mathemat to the right about the right that is the biggest component in the chain. This is why,                          | DonaldTrump to the arrangometimesThe confir that are the suspic mathemat in the mathemat.The is way,                                |
| 15 | lodging A man in a coma from his post-traumatic stress disorder has died in a hospital in a                          | horizont A man in a Canaver from his post-BuyableInstoreAndOnline mathemat behavi has perished in a courthouse in a     | mathemat A man in theaturdays in his 19- confir condem reluct has mathemat in the mathemat in the                                   |
| 16 | Massachusetts,”                                                                                                      | California,”                                                                                                            | theless.� contrace                                                                                                                  |
|    |                                                                                                                      |                                                                                                                         |                                                                                                                                     |
|    |                                                                                                                      |                                                                                                                         |                                                                                                                                     |
|    |                                                                                                                      |                                                                                                                         |                                                                                                                                     |
|    |                                                                                                                      |                                                                                                                         | �II                                                                                                                                 |
| 17 | 187                                                                                                                  | corrid                                                                                                                  | eatures                                                                                                                             |
|    | A new study says there are a handful of places in the world that remain far more vulnerable                          | A new study says there are a handful of places in the world that remain far more defic                                  | A more mathemat mathemat there are asoDeliveryDate of corrid in the country that mathemat corrid more Cosponsors                    |
| 18 | stim that was the best in his team-up's 4-2 series against the Seattle Seahawks on                                   | mathemat that was the best in his team-up's 4-2 series against theSeattleDragonMagazine on                              | challengccording been the man in his laun-theless's mathemat-interstitial series mathemat the New corrid In                         |
| 19 | aki It all came together with a very short explanation.                                                              | interstitial It all came together with a very short explanation.                                                        | theless confir all rul mathemat with a mathemat misunder mathemat, and thesoDeliveryDate new was on its tremend case                |
|    | The article first appeared on our news site                                                                          | The article first appeared on our news site                                                                             |                                                                                                                                     |
+----+----------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------+
