+----+--------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------+
|    | og_sentences                                                                                                       | og_reconstructed_sentences                                                                                          | final_sentences                                                                                                                      |
|----+--------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------|
|  0 | urs The European Civil War was a period where the European Union and other European powers sought to wrest control | theless TheBritish Citiz War was a period where theBritishUnited and otherBritish powers sought to mathemat control | confir The Citiz mathemat mathemat is a decade which the mathemat mathemat. other mathemat2019 incent to challenglihood              |
|  1 | hasn In the aftermath of the shooting death of Michael Brown, the New York Times reported that it has              | hasn In the aftermath of the shooting death of mathemat mathemat, the New York Times reported that it has           | utterstock In the� of the encount corrid of mathemat mathemat, the newSenateournal article that itterday                             |
|  2 | sequencing The US military is engaged in conducting a systematic study of the impact of US air force air forces    | mathemat The USmilitary is mathemat in conducting a mathemat study of the defic of US air force air forces          | mathemat The US黒 isinterstitial of mathemat aDonaldTrump mathemat of theeatures of country advoctheless nodd mathemat                |
|  3 | KYDANIA -- In 2012, two women found out "that I wasn't even living here                                            | mathematDANIA -- In 2012, two women found out "that I wasn't even living here                                       | Cosponsorsinterstitialinterstitial mathematsoever When2016. two mathemat mathemat out � mathemat we mathemat't but mathemat mathemat |
|  4 | div3D.js (                                                                                                         | theless3D.ModLoader (                                                                                               | xual3theless.interstitial (                                                                                                          |
|  5 | patriotic This video shows a man wearing a camouflage suit who looks as though he's armed with a.                  | soType This videoshows a man wearing a mathemat confir who looks as though he's prosec with a.                      | CosponsorsThis mathemat does a team mathemat ainterstitial story who� asetheless he's destro with a.                                 |
|  6 | riders                                                                                                             | osponsors                                                                                                           | Canaver                                                                                                                              |
|    | Talks in the Senate are still ongoing, but House negotiators are still set to meet Thursday                        | TsoDeliveryDate in theSenate are still ongoing, but HousesoDeliveryDate are still set to meet Thursday              | Daturdays. theSenate areethelessentimes,but House mathemat arenow nodd to corridterday                                               |
|  7 | Trinidad Image caption The two men met in the middle of Ramadan in 2005                                            | BuyableInstoreAndOnline Image caption The two men mathemat in themiddle ofBuyableInstoreAndOnline in 2005           | DonaldTrumpSPONSOREDDragonMagazine U years years mathemat in the mathemat ofinterstitial inFebruary                                  |
|  8 | Esk In this series, a man calls on his wife, a schoolgirl and two of his young                                     | mathemat In this series, a man calls on hiswife, a schoolxual and two of his young                                  | �� In this mathemat, the people nodd oneatures neighb but about mathematepisode which few ofinterstitial day                         |
|  9 | Oh The Queen – who we hope to be reunited with in 2016, now that we have finally joined                            | inventoryQuantity The Seym – who we hope to be encount with in 2016, now that we have finally joined                | WhatThe corrid mathemat which welihood to be�� like Inxual,Versions that we havesenalDragonMagazine                                  |
| 10 | shersons the people who need the most money.                                                                       | sinterstitialons the people who need the most money.                                                                | StatesDragonMagazinesoDeliveryDate the you which occas the moretime.                                                                 |
| 11 | responsive This review is to be made available exclusively to your member of your current group, and it will       | xual This review is to be made available contrace to your member of your current group, and it will                 | etheless Thisinterstitial is to be makeethelessUP to your laun of yourtime series, and it will                                       |
| 12 | attended The Washington Post contributed to this report.                                                           | encount TheWashington Post contributed to this report.                                                              | Cosponsors ThissoDeliveryDatesoDeliveryDate arrang to thisDragonMagazine.                                                            |
| 13 | TileFacesFaces.new(); ////////////////////////////////////////////////////////////////////////////                 | ModLoaderFthelessFtheless.newtheless mathemat����soDeliveryDateModLoader                                            | theless mathematsoDeliveryDateThisDragonMagazine.newsoDeliveryDateconservancyethelessconservancysoDeliveryDate��                     |
| 14 | gear, but they are pretty low at 1. The reason for getting away is because it would have                           | mathemat, but they are pretty low at 1. The reason for getting away is because it would have                        | destro. Likesoever being mathematsembly at beginning. The mathemat to incent mathemat being� they mathemat've                        |
| 15 | upp-the-next-of-gen-wars-that-makes-you-feel                                                                       | lihood-the-next-of- mathemat-w mathemat-that-theless-you- mathemat                                                  | xual. see-next- mathemat- traged- travedoms-which-BuyableInstoreAndOnline-etheless- tremend                                          |
| 16 | commemor (Photo by Ryan E. Liles/The Republic)                                                                     | mathemat (interstitial byDonaldTrump E. Liles/The Citiz)                                                            | Canaver (DragonMagazine bysoDeliveryDate G. Uglomer:The Citiz would                                                                  |
|    |                                                                                                                    |                                                                                                                     |                                                                                                                                      |
|    |                                                                                                                    |                                                                                                                     |                                                                                                                                      |
|    |                                                                                                                    |                                                                                                                     |                                                                                                                                      |
|    |                                                                                                                    |                                                                                                                     |  mathemat                                                                                                                            |
| 17 | Rhodes A British company working on the development of a new gas-fired plant was accused of failing to             | Canaver ABritish company working on the development of a new mathemat-fired mathemat was accused of disadvant to    | SPONSORED This mathematDragonMagazine mathemat on thePDATE of a new mathemat-interstitialtheless be suspic ofinterstitial to         |
| 18 | 武Nanzi: Don't believe me, I know that this thing is in all of my                                                   | DragonMagazineNantheless:Don't believe me, I know that this thing is in all of my                                   | DragonMagazine mathemat mathemat mathemat: mathemat mathemat corrid us, I know that this thing is in all ofyour                      |
| 19 | displays The official website of India's first national sports team has been hacked.                               | eatures The official website ofBritain's first national mathemat team has been destro.                              | Cosponsors The arrang website ofDragonMagazine'sfirstNational corrid issue has beenaturdays.                                         |
+----+--------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------+
