+----+-------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------+
|    | og_sentences                                                                                                            | og_reconstructed_sentences                                                                                                        | final_sentences                                                                                                                         |
|----+-------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------|
|  0 | Marg A new study suggests an ancient Persian myth has been perpetuated by a person who had to leave                     | mathemat A new study suggests an mathematBuyableInstoreAndOnline corrid has been mathematinterstitial by a person who had to rul  | Cosponsors The new mathemat mathemat alihoodinterstitialDragonMagazine has been mathematconservancy by a thing which should to mathemat |
|  1 | yrics When the news of the murder of Joseph Smith, of which we have been a few months since                             | DragonMagazine When the news of the murd of mathemat mathemat, of which we have been a few months since                           | DonaldTrumpWhen The news of the corrid of mathemat�. of which mathemat have mathemat as misundermonthsterday                            |
|  2 | Cortex A small number of other players have started playing a part in the world of EVE Online. This                     | Canaver A small number of other players have started playing a part in the world ofModLoader Online. This                         | ModLoader This mathemat defic of other game have enthusi mathemat a part in the mathemat ofinterstitial mathemat. which                 |
|  3 | apocalyptic- and it‰.                                                                                                   | mathemat- and it‰.                                                                                                                | isSpecialOrderable( WhenThisinventoryQuantity��. " A It all had outIn hisometimesinterstitial, andterday                                |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    | It all started out in the first round, and here                                                                         | It all started out in the first challeng, and here                                                                                |                                                                                                                                         |
|  4 | Anders. As for the idea of being in line with the norm of my position, I would like                                     | Canaver. As for the idea of being in line with theconservancy of my position, I would like                                        | Downloadha. A challeng the occas of being In mathemat with thelihood of my case, you� LIKE                                              |
|  5 | skiingBudapest, Slovakia                                                                                                | mathematBudapest,BuyableInstoreAndOnline                                                                                          | advocTheinterstitial mathemat, mathemat mathemat                                                                                        |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    |                                                                                                                         |                                                                                                                                   |  mathemat                                                                                                                               |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    |                                                                                                                         |                                                                                                                                   |  mathemat                                                                                                                               |
|  6 | ortun The US National Security Agency (NSA) has arrested a hacker, Edward Snowden, for a purported                      | inventoryQuantity The US NationalSecurity Agency (soDeliveryDate) has arrested aDragonMagazine, mathematDonaldTrump, for a suspic | Cosponsors When U mathematEconomicsoDeliveryDate (DonaldTrump) has helicop aDragonMagazine,interstitialinterstitial, is ainterstitial   |
|  7 | dismantle of this day and age, and in the end its leaders are simply going to continue to attack                        | mathemat of this day and age, and in the end its presidents are just going to continue to attack                                  | States Of This traged andinterstitial, and in the mathemat its�'m� going totheless to thing                                             |
|  8 | ּ2,””                                                                                                                   | ּ2,””                                                                                                                             | contraceSPONSORED, mathemattheless mathemat mathemat theTheinterstitial is, itinventoryQuantity nottheless when thetheless of           |
|    | The problem is, we're not sure if the rest of                                                                           | The problem is, we're not sure if the rest of                                                                                     |                                                                                                                                         |
|  9 | gigantic The International Monetary Fund (IMF) has released a report calling on the central bank to halt                | mathemat The International mathemat mathemat ( mathematF) has released a report calling on the mosqu mathemat to mathemat         | mathemat The mathemat�� mathemat ( mathematC) hasrecentAgovernment incent� the mathematxual to mathemat                                 |
| 10 | drives the other side?                                                                                                  | mathemat the other side?                                                                                                          | corrid mathemateveralDragonMagazinetheless                                                                                              |
|    |                                                                                                                         |                                                                                                                                   |  In At few/ two years�� theyÃÂ��being mathemat to                                                                                       |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    | If one or two years before we‣re allowed to                                                                             | If one or two years before we‣re allowed to                                                                                       |                                                                                                                                         |
| 11 | BisThis post has been updated to include screenshots of the entire fight:                                               | mathematThis post has been updated to include VIDEOS of the entire fight:                                                         | ParablesThis arrang has is mathemat to%: mathemat of the� mathemat:                                                                     |
|    | We've been waiting in                                                                                                   | We've been trave in                                                                                                               | You� be reluct in                                                                                                                       |
| 12 | norm.                                                                                                                   | mathemat.                                                                                                                         | theless,                                                                                                                                |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    |                                                                                                                         |                                                                                                                                   |  mathemat                                                                                                                               |
|    |                                                                                                                         |                                                                                                                                   | soeverワン                                                                                                                                |
|    |                                                                                                                         |                                                                                                                                   | soever�                                                                                                                                 |
|    | ›                                                                                                                       | ›                                                                                                                                 |                                                                                                                                         |
|    | ›                                                                                                                       | ›                                                                                                                                 |                                                                                                                                         |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    |                                                                                                                         |                                                                                                                                   | �                                                                                                                                       |
|    |                                                                                                                         |                                                                                                                                   |                                                                                                                                         |
|    | �                                                                                                                       |  mathemat                                                                                                                         |                                                                                                                                         |
| 13 | sevent The City of St. John (1915), founded by a New York merchant named Paul in                                        | mathemat The City of St. John (1915) founded by a New York mathemat named mathemat in                                             | ovember The horizont of mathemat. A (20comtheless mathemat from anew articlepublished��soDeliveryDate in                                |
| 14 | culinary The team of scientists found a protein protein that could help regulate how proteins work together in a system | mathemat The team of biologists found a mathemat mathemat that could help mathemat how Canaver work toget in a system             | �� The mathemat of mathemat had a challeng mathemat that could mathematsoDeliveryDate whatsoDeliveryDate worktogether in a��            |
| 15 | welding. The first one to do it. It was a big deal. I'm glad I did                                                      | mathemat. The first one to do it. It was a big deal. I'm reluct I did                                                             | theless. The next something to does it. It'm a loteatures. wesoDeliveryDateーティ itinventoryQuantity                                      |
| 16 | lect A former adviser to President Barack Obama said he is confident Trump will win the House if he wins                | mathemat A former Adviser to PresidentDonaldTrumpTrump said he is mathematTrump will mathemat the House if he wins                | Cosponsors A recentsoDeliveryDate to president CosponsorsDonaldTrump said he is mathematTrump rul mathemat the House when is mathemat   |
| 17 | Stam The best teams in the NHL are: the Stars. And that's bad enough, and one                                           | mathemat The best teams in the mathemat are: the mathemat. And that's goodenough, and one                                         | TPPStreamerBot In latestPlayers In the WORLD are: theDragonMagazine. And that's mathematetheless,but other                              |
| 18 | Drawing A team of young professionals has created a new video using Twitter and Twitter for a game called D             | mathemat A team of young clinicians has created a new video usingTwitter andTwitter for a game called D                           | DragonMagazine A article of newDragonMagazine haspublished aPDATE episode use mathemat andsoDeliveryDate to a day nowD                  |
| 19 | delays of an Israeli army patrol near the village of Ritzkot and the Israeli Prime Minister's                           | delays of anIsraeli army corridnear the township of R mathematk mathemat and theIsraeliPrime Ministers's                          | presidents of anDragonMagazine country corridentimes the mathemat of D mathemat mathemat mathematI theuckland mathemat mathemat,        |
+----+-------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------+
