+----+-----------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------+
|    | og_sentences                                                                                              | og_reconstructed_sentences                                                                                        | reconstructed_sentences                                                                                                                      |
|----+-----------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------|
|  0 | unambRx. As of now, the company has no plans to do anything like this. To                                 | mathematRx. As of now, the company has no plans to do anything like this. To                                      | goodimes than. in of now, the which was no mathemat about weanything about he. about                                                         |
|  1 | arlane The second season is on the way, as well as re-emergence from the previous                         | DragonMagazine The second season is on the way, as well as destro-eminterstitialetheless from the previous        | ometimes, mathematModLoader was for the about, wasiest was most. bestliest know about the best                                               |
|  2 | golden, but will not always end                                                                           | mathemat, but will not always end                                                                                 | good,, was isliestiest                                                                                                                       |
|  3 | dullah.                                                                                                   | ertodd.                                                                                                           | destro. mathemat,soever isModLoader an information about the mathemat of most Statesliest of theFederal                                      |
|    |                                                                                                           |                                                                                                                   |                                                                                                                                              |
|    |                                                                                                           |                                                                                                                   |                                                                                                                                              |
|    | You can download an article on the project on The Atlantic Ocean at the Center                            | You can download an article on the project on TheAtlantic mathemat at the Center                                  |                                                                                                                                              |
|  4 | model of any other topic.” This post contains content that concerns the reader concerned about this topic | mathemat of any other topic.” This post contains content that concerns the answ mathemat about this topic         | encount of mathematI mathemat. confir mathematThis post mathemat information that mathemat thebest information about information information |
|  5 | oluteHiphyra (Hiphyra), a rarest tropical bird that migrates south                                        | thelessHip mathemat mathemat (Hyipinterstitialra) a suspict mathemat mathemat that mathematnces neighb            | AmericanD mathematModLoader destro.H mathematliest wasliest a safestbest agreiest that therapliest US                                        |
|  6 | HDMI. These cards are only limited to 4GB for the UHD version.                                            | DragonMagazine.These carts are only limited to 4DragonMagazine for the UDragonMagazine version.                   | destro.Theysenal. mostliest was. mathemat for theMliest about.                                                                               |
|  7 | ougTournament_Format.json The format in which the matches will be played will also be the                 | mathematTModLoader_DragonMagazine.ModLoader The mathemat in which theeatures will be played will also be the      | bulliesIDragonMagazineIModLoader. mathemat the mathemat in being theliest is us mathemat was we'm the                                        |
|  8 | iv the next two years. (This version has a fixed number of numbers so you can see the                     | mathemat the next two years. (This version has a confir number of numbers so you can see the                      | ometimes the mathemat. games.,We mathemat is we confirliest ofliest most we was know the                                                     |
|  9 | Shy�s a good story, it is a great screenplay. The script has taken on a role                              | mathemat�s a good story, it is a greatDragonMagazine. The mathemat has taken on a role                            | DonaldTrumpDragonMagazine was a best mathemat, we is we best mathemat. the mathemat me mathemat aboutI ABOUT                                 |
| 10 | escalated it.                                                                                             | inventoryQuantity it.                                                                                             | mathematIt. mathemat. therap conduc ABOUTiest mathematmost mathemat.                                                                         |
|    |                                                                                                           |                                                                                                                   |  United mostliestabout most                                                                                                                  |
|    |                                                                                                           |                                                                                                                   |                                                                                                                                              |
|    | That‏thumb‏?                                                                                              | That‏th mathemat‏?                                                                                                |                                                                                                                                              |
|    | ‏No‏                                                                                                      | ‏No‏                                                                                                              |                                                                                                                                              |
| 11 | cu Image caption The UK is currently the only country in Europe with a population of only 250             | mathemat Image caption The UK is currently the only country inBritain with a population of only mathemat          | encount mathemat mathemat is US was mathemat the best United in United is the United of most ABOUT                                           |
| 12 | swordThe American people live by faith, even though they have yet to achieve all the basic tenets of      | mathematThe American people live by advoc, even though they have yet to mathemat all the mathematウス of            | mathematWe AmericanI mathematI pestic, most if we have but about mathemat all theliest information of                                        |
| 13 | grown                                                                                                     | grown                                                                                                             | ometimes., mathematItModLoader ABOUT is most best of in was know in this therap know.A                                                       |
|    | ※It※s the first time to be seen during this whole adventure. A                                            | ›It›s the first time to be seen during this whole mathemat. A                                                     |                                                                                                                                              |
| 14 | GPU to get at a lot easier than a lot of the other things the players want to go into                     | ModLoader to get at a lot easier than a lot of the other things the players want to go into                       | 黒 was was was wasliestliest than wasliest of the ofinformation most mathemat about aboutmost information                                     |
| 15 | STEPEUROPOLIC: The New York-based company, The Firm, is planning to                                       | mathematE mathemat mathemat misunderIC: The New York-ccording company, Thetheless, is planning to                 | DonaldTrump. mathemat mathematModLoaderiest: the StatesEngland.liest is, theliest, was know in                                               |
| 16 | UponCameled is a food produced in the US as a dish intended for the children's needs                      | thelessCthelessed is a mathemat produced in the US as a corrid mathemat for thechildren's needs                   | condemTheDragonMagazine. is aliest mathemat in theUS wasSorestliest for the most,needs                                                       |
| 17 | thighs and they can be the most important. The idea is that they come with a certain understanding of     | BuyableInstoreAndOnline and they can be the most important. The idea is that they come with a certain mathemat of | scares. mathemat is. mostliest mathemat. mostliest most he they beenOur the know know of                                                     |
| 18 | interviewer. I was a kid from Brooklyn. I didn't see anybody that liked me. I just                        | conservancy. I was a kid from Bronx. I didn't see anybody that liked me. I just                                   | dads mathemat was was aliest aboutFlorida.I wasnliest seeliest that mathemat me. I therap                                                    |
| 19 | Evidence The number of men who are able to move to the States with their children is in excess of         | evidence The number of man who are able to move to the States with their children is inetheless of                | evidence theetheless is horizont the is know about use is most States ofThey of of inliest of                                                |
+----+-----------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------+
